,cleaned_event,cleaned_venue,cleaned_place,cleaned_date
3380,LUNCHEON,COMMERCIAL,"66TH ST AND BROADWAY,NEW YORK,NY",1900-03-01
3381,DINNER,COMMERCIAL,"66TH ST AND BROADWAY,NEW YORK,NY",1900-03-02
3382,BREAKFAST,COMMERCIAL,SS WESTERNLAND,1900-03-02
3383,DINNER,COMMERCIAL,"66TH ST AND BROADWAY,NEW YORK,NY",1900-03-02
3384,LUNCH,COMMERCIAL,SS AUGUSTE VICTORIA,1900-03-02
3385,SUPPER,COMMERCIAL,SS AUGUSTE VICTORIA,1900-03-02
3386,BREAKFAST,COMMERCIAL,SS WESTERNLAND,1900-03-02
3387,LUNCH,COMMERCIAL,SS WESTERNLAND,1900-03-02
3388,BREAKFAST,COMMERCIAL,RMS CAMPANIA,1900-03-02
3389,DINNER,COMMERCIAL,RMS CAMPANIA,1900-03-02
3390,LUNCHEON,COMMERCIAL,"NEW YORK,NY",1900-03-02
3391,LUNCH,COMMERCIAL,RMS CAMPANIA,1900-03-02
3392,DINNER,COMMERCIAL,S.S. WESTERNLAND,1900-03-11
3393,BREAKFAST,COMMERCIAL,SS COPTIC,1900-04-12
3394,DINNER,COMMERCIAL,EN ROUTE ABOARD R.M.S. LUCANIA,1900-04-12
3395,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD R.M.S. EMPRESS OF CHINA,1900-04-12
3396,LUNCH,COMMERCIAL,EN ROUTE ABOARD KAISER WILHELM DER GROSSE,1900-02-18
3397,DINNER,COMMERCIAL,EN ROUTE,1900-02-18
3398,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD R.M.S. ETRURIA,1900-02-18
3399,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD S.S. WESTERNLAND,1900-02-18
3400,LUNCH,COMMERCIAL,EN ROUTE ABOARD S.S. WESTERNLAND,1900-02-18
3401,DINNER,COMMERCIAL,EN ROUTE ABOARD S.S. WESTERNLAND,1901-06-08
3402,LUNCH,COMMERCIAL,EN ROUTE ABOARD KONIGIN LUISE,1901-06-08
3403,DINNER,COMMERCIAL,EN ROUTE ABOARD KONIGIN LUISE,1901-05-26
3404,DINNER,COMMERCIAL,EN ROUTE ABOARD VENTURA,1901-05-26
3405,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD SONOMA,1901-05-26
3406,LUNCHEON,COMMERCIAL,EN ROUTE ABOARD SONOMA,1901-06-05
3407,LUNCH?,COMMERCIAL,SS VENTURA,1901-06-06
3408,LUNCH,COMMERCIAL,SS VENTURA2ND CABIN,1901-06-08
3409,BREAKFAST,COMMERCIAL,EN ROUTE,1901-06-08
3410,DINNER,COMMERCIAL,EN ROUTE,1901-06-09
3411,BREAKFAST,COMMERCIAL,EN ROUTE,1901-06-09
3412,LUNCHEON,COMMERCIAL,EN ROUTE,1901-06-09
3413,DINNER,COMMERCIAL,EN ROUTE,1901-06-09
3414,BREAKFAST,COMMERCIAL,EN ROUTE,1901-06-09
3415,DINNER,COMMERCIAL,EN ROUTE,1901-06-10
3416,DINNER,COMMERCIAL,EN ROUTE,1901-06-10
3417,BREAKFAST,COMMERCIAL,EN ROUTE,1901-06-10
3418,LUNCHEON,COMMERCIAL,EN ROUTE,1901-06-10
3419,DINNER,COM,EN ROUTE,1901-06-11
3420,BREAKFAST,COMMERCIAL,EN ROUTE,1901-06-11
3421,DINNER,COMMERCIAL,EN ROUTE,1901-06-12
3422,BREAKFAST,COMMERCIAL,SS KONIGIN LUISE,1901-06-18
3423,DINNER,COMMERCIAL,SS FRIEDRICH DER GROSSE,1901-06-18
3424,MITTAGESSEN,COMMERCIAL,SS FRIEDRICH DER GROSSE,1901-06-18
3425,(?LUNCH?),COMMERCIAL,SS KONIGEN LUISE,1901-06-19
3426,BREAKFAST,COMMERCIAL,SS FRIEDRICH DER GROSSE,1901-05-26
3427,LUNCHEON - SECOND CABIN,COMMERCIAL,EN ROUTE ABOARD SONOMA,1901-05-26
3428,DINNER - SECOND CABIN,COMMERCIAL,EN ROUTE ABOARD SONOMA,1901-05-26
3429,BREAKFAST,COMMERCIAL,"LOS ANGELES,CA",1901-05-26
3430,LUNCHEON,COMMERCIAL,"LOS ANGELES,CA",1901-05-27
3431,DINNER,COMMERCIAL,EN ROUTE ABOARD VENTURA,1901-05-27
3432,LUNCHEON,COMMERCIAL,EN ROUTE ABOARD VENTURA,1901-05-27
3433,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD VENTURA,1901-05-27
3434,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD SONOMA,1901-05-27
3435,LUNCHEON,COMMERCIAL,EN ROUTE ABOARD SONOMA,1901-05-27
3436,LUNCHEON - SECOND CABIN,COMMERCIAL,EN ROUTE ABOARD SONOMA,1901-05-27
3437,DINNER - SECOND CABIN,COMMERCIAL,EN ROUTE ABOARD SONOMA,1901-05-28
3438,DINNER - SECOND CABIN,COMMERCIAL,EN ROUTE ABOARD SONOMA,1901-07-24
3439,DINNER,COMMERCIAL,EN ROUTE ABOARD EXPRESS STEAMER FURST BISMARCK,1901-07-24
3440,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD EXPRESS STEAMER FURST BISMARCK,1901-05-02
3441,LUNCH,COMMERCIAL,SS BARBAROSSA,1901-05-02
3442,DINNER,COMMERCIAL,SS BARBAROSSA,1901-05-02
3443,DINNER,COMMERCIAL,SS BARBAROSSA,1901-05-02
3444,BREAKFAST,COMMERCIAL,SS MEIER,1901-05-02
3445,LUNCH,COMMERCIAL,SS MEIER,1901-05-02
3446,DINNER,COMMERCIAL,SS MEIER,1901-01-01
3447,BREAKFAST,COMMERCIAL,,1901-05-03
3448,FRUHSTUCK,COMMERCIAL,DAMPFER H.H. MEIER,1901-05-03
3449,MITTAGESSEN,COMMERCIAL,DAMPFER H.H. MEIER,1901-05-03
3450,FRUHSTUCK,COMMERCIAL,DAMPFER BARBAROSSA,1901-05-03
3451,LUNCH,COMMERCIAL,DAMPFER BARBAROSSA,1901-05-03
3452,MITTAGESSEN - DINNER,COMMERCIAL,DAMPFER BARBAROSSA,1901-05-03
3453,MITTAGESSEN - DINNER,COMMERCIAL,DAMPFER BARBAROSSA,1901-09-20
3454,BREAKFAST ON FUNERAL TRAIN OF PRESIDENT McKINLEY?,COMMERCIAL,EN ROUTE TO CANTON,1901-09-20
3455,LUNCHEON ON FUNERAL TRAIN OF PRESIDENT McKINLEY?,COMMERCIAL,EN ROUTE TO CANTON,1901-09-20
3456,BREAKFAST,COMMERCIAL,SS DEUTSCHLAND,1901-09-20
3457,LUNCH,COMMERCIAL,SS DEUTSCHLAND,1901-09-20
3458,LUNCH,COMMERCIAL,SS DEUTSCHLAND,1901-09-20
3459,DINNER,COMMERCIAL,SS DEUTSCHLAND,1901-09-21
3460,BREAKFAST,COMMERCIAL,SS DEUTSCHLAND,1901-09-21
3461,LUNCH,COMMERCIAL,SS DEUTSCHLAND,1901-09-21
3462,LUNCH,COMMERCIAL,SS DEUTSCHLAND,1901-09-21
3463,DINNER,COMMERCIAL,SS DEUTSCHLAND,1901-09-22
3464,FRUHSTUCK-LUNCH,COMMERCIAL,SCHNELLDAMPFER DEUTSCHLAND COMMODORE ALBERS,1901-09-16
3465,DINNER,COMMERCIAL,EN ROUTE FRIEDRICH DER GROSSE,1901-05-08
3466,MIDDAY DINNER,COMMERCIAL,EN ROUTE ABOARD DAMPFER NECKER,1901-05-08
3467,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD DAMPFER H.H. MEIER,1901-05-08
3468,LUNCH,COMMERCIAL,EN ROUTE ABOARD DAMPFER LAHN,1901-07-11
3469,LUNCH,COMMERCIAL,EN ROUTE ABOARD SS FRIEDRICH DER GROSSE,1901-07-11
3470,DINNER,COMMERCIAL,EN ROUTE ABOARD SS FRIEDRICH DER GROSSE,1901-07-11
3471,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD SS FRIEDRICH DER GROSSE,1901-07-11
3472,LUNCH,COMMERCIAL,EN ROUTE ABOARD EXPRESS STEAMER FURST BISMARCK,1901-07-10
3473,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD EXPRESS STEAMER FURST BISMARCK,1901-07-10
3474,DINNER,COMMERCIAL,EN ROUTE ABOARD EXPRESS STEAMER FURST BISMARCK,1901-07-11
3475,LUNCH,COMMERCIAL,EN ROUTE ABOARD EXPRESS STEAMER FURST BISMARCK,1901-07-12
3476,LUNCH,COMMERCIAL,EN ROUTE ABOARD SIERRA,1901-07-12
3477,DINNER,COMMERCIAL,EN ROUTE ABOARD SIERRA,1901-07-12
3478,LUNCH,COMMERCIAL,EN ROUTE ABOARD EXPRESS STEAMER FURST BISMARCK,1901-07-12
3479,LUNCH,COMMERCIAL,EN ROUTE ABOARD EXPRESS STEAMER FURST BISMARCK,1901-08-03
3480,DINNER,COMMERCIAL,S.S. ZEALANDIA,1901-08-03
3481,BREAKFAST,COMMERCIAL,"ALTOONA, PA",1901-08-03
3482,DINNER,COMMERCIAL,,1901-08-03
3483,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD S.S. ZEALANDIA,1900-03-11
3484,LUNCH,COMMERCIAL,SS COPTIC,1900-03-11
3485,DINNER,COMMERCIAL,SS COPTIC,1900-03-11
3486,FRUHSTUCK/LUNCH,COMMERCIAL,SCHNELLDAMPFER EXPRESS STEAMER AUGUST VICTORIA,1900-03-12
3487,LUNCH,COMMERCIAL,SS COPTIC,1900-03-12
3488,DINNER,COMMERCIAL,SS COPTIC,1900-03-12
3489,DINNER,COMMERCIAL,SCHNELLDAMPFER EXPRESS STEAMER AUGUST VICTORIA,1900-03-12
3490,FRUHSTUCK/LUNCH,COMMERCIAL,SCHNELLDAMPFER EXPRESS STEAMER AUGUST VICTORIA,1900-03-12
3491,BREAKFAST,COMMERCIAL,"NASHVILLE, TN",1900-03-27
3492,LUNCH,COMMERCIAL,EN ROUTE ABOARD SCNELLDAMPFER EXPRESS STEAMER AUGUSTE VICTORIA,1900-04-26
3493,LUNCHEON,COMMERCIAL,EN ROUTE ABOARD R.M.S. LUCANIA,1900-04-28
3494,LUNCHEON,COMMERCIAL,"CHICAGO,ILL.",1900-04-29
3495,BREAKFAST,COMMERCIAL,SS KAISER WILHELM DER GROSSE,1900-04-29
3496,LUNCH,COMMERCIAL,SS KAISER WILHELM DER GROSSE,1900-04-29
3497,DINNER,COMMERCIAL,SS KAISER WILHELM DER GROSSE,1900-04-29
3498,BREAKFAST,COMMERCIAL,SS CITY OF PARA,1900-04-29
3499,LUNCH,COMMERCIAL,SS CITY OF PARA,1900-04-29
3500,DINNER,COMMERCIAL,SS CITY OF PARA,1900-04-30
3501,DINNER,COMMERCIAL,SS CITY OF PARA,1900-03-28
3502,LUNCH,COMMERCIAL,EN ROUTE ABOARD SCNELLDAMPFER EXPRESS STEAMER AUGUSTE VICTORIA,1900-03-27
3503,DINNER,COMMERCIAL,EN ROUTE ABOARD SCNELLDAMPFER EXPRESS STEAMER AUGUSTE VICTORIA,1900-03-28
3504,DINNER,COMMERCIAL,EN ROUTE ABOARD SCNELLDAMPFER EXPRESS STEAMER AUGUSTE VICTORIA,1900-03-29
3505,DINNER,COMMERCIAL,EN ROUTE ABOARD SCNELLDAMPFER EXPRESS STEAMER AUGUSTE VICTORIA,1900-03-28
3506,BREAKFAST,COMMERCIAL,EN ROUTE,1900-03-29
3507,BREAKFAST,COMMERCIAL,EN ROUTE,1900-03-30
3508,BREAKFAST,COMMERCIAL,EN ROUTE,1900-03-31
3509,BREAKFAST,COMMERCIAL,EN ROUTE,1900-03-28
3510,DINNER,COMMERCIAL,EN ROUTE,1900-03-29
3511,DINNER,COMMERCIAL,EN ROUTE,1900-03-30
3512,DINNER,COMMERCIAL,EN ROUTE,1900-04-22
3513,LUNCH,COMMERCIAL,EN ROUTE ABOARD S.S. DORIC,1900-04-22
3514,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD S.S. DORIC,1900-04-12
3515,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD KAISER WILHELM DER GROSSE,1900-04-12
3516,DINNER,COMMERCIAL,EN ROUTE ABOARD KAISER WILHELM DER GROSSE,1900-04-13
3517,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD KAISER WILHELM DER GROSSE,1900-04-13
3518,LUNCH,COMMERCIAL,EN ROUTE ABOARD KAISER WILHELM DER GROSSE,1900-04-13
3519,DINNER,COMMERCIAL,EN ROUTE ABOARD KAISER WILHELM DER GROSSE,1900-04-13
3520,LUNCHEON,COMMERCIAL,EN ROUTE ABOARD R.M.S. EMPRESS OF CHINA,1900-04-13
3521,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD R.M.S. EMPRESS OF CHINA,1900-04-13
3522,LUNCHEON,COMMERCIAL,EN ROUTE ABOARD R.M.S. LUCANIA,1900-04-13
3523,DINNER,COMMERCIAL,EN ROUTE ABOARD R.M.S. LUCANIA,1900-04-14
3524,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD KAISER WILHELM DER GROSSE,1900-04-14
3525,LUNCH,COMMERCIAL,EN ROUTE ABOARD KAISER WILHELM DER GROSSE,1900-04-14
3526,LUNCHEON,COMMERCIAL,EN ROUTE ABOARD R.M.S. EMPRESS OF CHINA,1900-04-14
3527,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD R.M.S. EMPRESS OF CHINA,1900-04-15
3528,DINNER,COMMERCIAL,"ASHEVILLE,NC",1900-09-02
3529,TIFFIN,COMMERCIAL,SS HONG KONG MARU,1900-09-02
3530,DINNER,COMMERCIAL,SS KOBE MARU,1900-09-03
3531,DINNER,COMMERCIAL,"DETROIT, MI",1900-09-03
3532,BREAKFAST,COMMERCIAL,SS HONG KONG MARU,1900-09-03
3533,TIFFIN,COMMERCIAL,SS HONG KONG MARU,1900-09-03
3534,DINNER,COMMERCIAL,SS HONG KONG MARU,1900-09-03
3535,TIFFIN,COMMERCIAL,SS KASUGA,1900-09-03
3536,DINNER,COMMERCIAL,ABOARD SS KOBE MARU,1900-09-03
3537,DINNER,COMMERCIAL,ABOARD SS KASUGA,1900-09-04
3538,BREAKFAST,COMMERCIAL,SS HONG KONG MARU,1900-09-04
3539,BREAKFAST,COMMERCIAL,SS KASUGA,1900-09-04
3540,TIFFIN,COMMERCIAL,SS KASUGA,1900-09-04
3541,DINNER,COMMERCIAL,ABOARD SS KASUGA,1900-09-04
3542,TIFFIN,COMMERCIAL,SS HONG KONG MARU,1900-10-28
3543,TIFFIN,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,1900-10-17
3544,TIFFIN,COMMERCIAL,EN ROUTE ABOARD SS. KASUGA,1900-10-16
3545,DINNER,COMMERCIAL,EN ROUTE ABOARD SS.KOBE MARU,1900-10-17
3546,DINNER,COMMERCIAL,EN ROUTE ABOARD SS. KASUGA,1900-10-17
3547,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,1900-10-17
3548,TIFFIN,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,1900-10-17
3549,DINNER,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,1900-10-17
3550,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD SS.K0BE MARU,1900-10-17
3551,TIFFIN,COMMERCIAL,EN ROUTE ABOARD SS.KOBE MARU,1900-10-17
3552,DINNER,COMMERCIAL,EN ROUTE ABOARD SS. KOBE MARU,1900-10-18
3553,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD SS. KASUGA,1900-10-18
3554,TIFFIN,COMMERCIAL,EN ROUTE ABOARD SS. KASUGA,1900-10-18
3555,DINNER,COMMERCIAL,EN ROUTE ABOARD SS. KASUGA,1900-10-18
3556,TIFFIN,COMMERCIAL,EN ROUTE ABOARD SS.KOBE MARU,1900-10-18
3557,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,1900-10-18
3558,TIFFIN,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,1900-10-29
3559,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,1900-10-29
3560,TIFFIN,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,1900-10-29
3561,DINNER,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,1900-10-30
3562,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,1900-10-30
3563,TIFFIN,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,1900-10-30
3564,DINNER,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,1900-10-30
3565,DAILY MENU,COMMERCIAL,"SAN FRANCISCO,CA",1900-10-30
3566,LUNCHEON,COMMERCIAL,,1900-10-31
3567,DAILY MENU,COMMERCIAL,"SAN FRANCISCO,CA",1900-10-31
3568,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,1900-10-31
3569,TIFFIN,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,1900-10-31
3570,DINNER,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,1900-01-01
3571,BREAKFAST,COMMERCIAL,SUNSET OGDEN & SHASTA ROUTES,1901-06-19
3572,LUNCH,COMMERCIAL,SS FRIEDRICH DER GROSSE,1901-06-19
3573,DINNER,COMMERCIAL,SS FRIEDRICH DER GROSSE,1901-06-19
3574,(?LUNCH?),COMMERCIAL,SS FRIEDRICH DER GROSSE,1901-06-12
3575,DINNER,COMMERCIAL,SS KONIGIN LUISE,1901-06-12
3576,SUPPER,COMMERCIAL,SS KONIGIN LUISE,1901-05-28
3577,LUNCHEON - SECOND CABIN,COMMERCIAL,EN ROUTE ABOARD SONOMA,1901-05-28
3578,LUNCHEON,COMMERCIAL,EN ROUTE ABOARD VENTURA,1901-05-28
3579,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD SONOMA,1901-05-28
3580,LUNCHEON,COMMERCIAL,EN ROUTE ABOARD SONOMA,1901-05-28
3581,DINNER,COMMERCIAL,EN ROUTE ABOARD VENTURA,1901-05-28
3582,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD VENTURA,1901-05-29
3583,DINNER,COMMERCIAL,EN ROUTE,1901-05-29
3584,DINNER,COMMERCIAL,EN ROUTE,1901-05-29
3585,LUNCHEON,COMMERCIAL,EN ROUTE,1901-05-29
3586,BREAKFAST,COMMERCIAL,EN ROUTE,1901-05-29
3587,LUNCHEON,COMMERCIAL,EN ROUTE,1901-06-12
3588,SUPPER,COMMERCIAL,SS KONIGIN LUISE,1901-06-12
3589,LUNCH,COMMERCIAL,SS KONIGIN LUISE,1901-06-13
3590,BREAKFAST,COMMERCIAL,SS KONIGIN LUISE,1901-06-13
3591,LUNCH,COMMERCIAL,SS KONIGIN LUISE,1901-06-13
3592,LUNCH,COMMERCIAL,SS FRIEDRICH DER GROSSE,1901-06-13
3593,SUPPER,COMMERCIAL,SS KONIGIN LUISE,1901-06-13
3594,SUPPER,COMMERCIAL,SS KONIGIN LUISE,1901-06-13
3595,DINNER,COMMERCIAL,SS KONIGIN LUISE,1901-06-13
3596,LUNCH,COMMERCIAL,SS FRIEDRICH DER GROSSE,1901-06-14
3597,LUNCH,COMMERCIAL,SS KONIGIN LUISE,1901-06-14
3598,BREAKFAST,COMMERCIAL,SS KONIGIN LUISE,1901-06-14
3599,DINNER,COMMERCIAL,SS SIERRA,1901-06-14
3600,BREAKFAST,COMMERCIAL,SS FRIEDRICH DER GROSSE,1901-06-14
3601,LUNCH,COMMERCIAL,SS FRIEDRICH DER GROSSE,1901-05-29
3602,DINNER,COM,EN ROUTE,1901-05-29
3603,DINNER,COMMERCIAL,EN ROUTE,1901-05-30
3604,BREAKFAST,COMMERCIAL,EN ROUTE,1901-05-30
3605,LUNCHEON,COM,EN ROUTE,1901-09-16
3606,BREAKFAST,COM,EN ROUTE FRIEDRICH DER GROSSE,1901-05-13
3607,DINNER - SECOND CABIN,COMMERCIAL,EN ROUTE ABOARD SONOMA,1901-05-13
3608,LUNCHEON,COMMERCIAL,EN ROUTE ABOARD SONOMA,1901-05-13
3609,DINNER,COMMERCIAL,EN ROUTE ABOARD SONOMA,1901-05-24
3610,DINNER,COMMERCIAL,,1901-07-03
3611,LUNCHEON,COMMERCIAL,"ELLICOTT SQUARE, BUFFALO, NY",1901-07-03
3612,BREAKFAST,COMMERCIAL,"ELLICOTT SQUARE, BUFFALO, NY",1901-08-19
3613,LUNCHEON,COMMERCIAL,"CLINTON,NY",1901-08-20
3614,SUPPER,COMMERCIAL,"MOUNT WASHINGTON, NH",1901-08-21
3615,DINNER,COMMERCIAL,,1901-08-22
3616,DINNER,COMMERCIAL,SS FRIEDRICH DER GROSSE,1901-08-22
3617,SUPPER,COMMERCIAL,SS FRIEDRICH DER GROSSE,1901-08-23
3618,BREAKFAST,COMMERCIAL,SS FRIEDRICH DER GROSSE,1901-08-23
3619,LUNCH,COMMERCIAL,SS FRIEDRICH DER GROSSE,1901-08-23
3620,LUNCH,COMMERCIAL,SS FRIEDRICH DER GROSSE,1901-08-23
3621,DINNER,COMMERCIAL,SS FRIEDRICH DER GROSSE,1901-08-23
3622,DINNER,COMMERCIAL,SS FRIEDRICH DER GROSSE,1901-08-23
3623,SUPPER,COMMERCIAL,SS FRIEDRICH DER GROSSE,1901-08-24
3624,MITTAGESSEN,COMMERCIAL,SS FRIEDRICH DER GROSSE,1901-09-04
3625,TOUR TO BUFFALO-LUNCHEON,GOVT,EN ROUTE,1901-05-08
3626,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD DAMPFER H.H. MEIER,1901-05-08
3627,EVENING MEAL,COMMERCIAL,EN ROUTE ABOARD DAMPFER LAHN,1901-05-09
3628,LUNCHEON,NAV,EN ROUTE,1901-05-09
3629,LUNCHEON,NAV,EN ROUTE,1901-05-09
3630,DINNER,COMMERCIAL,EN ROUTE ABOARD SONOMA,1901-05-09
3631,MIDDAY DINNER,COMMERCIAL,EN ROUTE ABOARD DAMPFER NECKER,1901-05-09
3632,EVENING MEAL,COMMERCIAL,EN ROUTE ABOARD DAMPFER LAHN,1901-05-09
3633,MIDDAY DINNER,COMMERCIAL,EN ROUTE ABOARD DAMPFER LAHN,1901-05-09
3634,LUNCH,COMMERCIAL,EN ROUTE ABOARD DAMPFER LAHN,1901-05-09
3635,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD DAMPFER H.H.MEIER,1901-05-10
3636,BREAKFAST,COMMERCIAL,EN ROUTE - SONOMA,1901-05-10
3637,BREAKFAST,COM,EN ROUTE - SS LAHN,1901-05-11
3638,BREAKFAST,COM,EN ROUTE - SONOMA,1901-05-11
3639,BREAKFAST,COM,EN ROUTE - SS LAHN,1900-04-16
3640,BREAKFAST,COMMERCIAL,NEW YORK,1900-04-22
3641,DINNER,COMMERCIAL,EN ROUTE ABOARD PANAMA LINE STEAMSHIP CITY OF PARA,1900-04-22
3642,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD PANAMA LINE STEAMSHIP CITY OF PARA,1900-04-22
3643,DINNER,COMMERCIAL,RMS EMPRESS OF CHINA,1900-08-04
3644,DINNER,COMMERCIAL,"SARATOGA SPRINGS,NY",1900-04-22
3645,BREAKFAST,COMMERCIAL,SS DORIC,1900-04-22
3646,LUNCH,COMMERCIAL,SS DORIC,1900-09-04
3647,DINNER,COMMERCIAL,SS HONG KONG MARU,1900-09-05
3648,TIFFIN,COMMERCIAL,SS KASUGA,1900-08-21
3649,BREAKFAST,COMMERCIAL,"PUT-IN-BAY-ISLAND, LAKE ERIE, OH",1900-08-21
3650,LUNCH,COMMERCIAL,"ZERMATT, SWITZERLAND",1900-08-21
3651,DINER,COMMERCIAL,"ZERMATT, SWITZERLAND",1900-08-21
3652,DINNER,COMMERCIAL,"AUGUSTA, ME",1900-08-21
3653,BREAKFAST,COMMERCIAL,ABOARD SS KAMAKURA MARU,1900-08-21
3654,TIFFIN,COMMERCIAL,ABOARD SS KAMAKURA MARU,1900-08-21
3655,TIFFIN,COMMERCIAL,ABOARD SS KASUGA,1900-08-22
3656,DINNER,COMMERCIAL,"AUGUSTA, ME",1900-08-22
3657,BREAKFAST,COMMERCIAL,ABOARD SS KASUGA,1900-08-22
3658,DINNER,COMMERCIAL,ABOARD SS KAMAKURA MARU,1900-08-22
3659,DINNER,COMMERCIAL,ABOARD SS KOBE MARU,1900-08-22
3660,DINNER,COMMERCIAL,"WHITE MOUNTAINS, NH",1900-08-22
3661,TIFFIN,COMMERCIAL,ABOARD SS KASUGA,1900-08-23
3662,BREAKFAST,COMMERCIAL,ABOARD SS KAMAKURA MARU,1900-08-23
3663,TIFFIN,COMMERCIAL,ABOARD SS KAMAKURA MARU,1900-08-23
3664,BREAKFAST,COMMERCIAL,"PUT-IN-BAY-ISLAND, LAKE ERIE, OH",1900-08-23
3665,DINNER,COMMERCIAL,ABOARD SS KAMAKURA MARU,1900-06-12
3666,BREAKFAST,COMMERCIAL,SS GAELIC,1900-07-14
3667,DINNER,COMMERCIAL,"ABOARD SS CHATEAUGAY, LAKE CHAMPLAIN, {NY}",1900-07-15
3668,DINNER,COMMERCIAL,"ABOARD SS CHATEAUGAY, LAKE CHAMPLAIN, {NY}",1900-05-23
3669,DINNER,COMMERCIAL,"143 LIBERTY STREET, NY",1900-06-12
3670,LUNCH,COMMERCIAL,SS GAELIC,1900-06-12
3671,DINNER,COMMERCIAL,SS GAELIC,1900-06-12
3672,BREAKFAST,COMMERCIAL,SS CITY OF RIO DE JANEIRO,1900-06-12
3673,TIFFIN,COMMERCIAL,SS CITY OF RIO DE JANEIRO,1900-06-12
3674,DINNER,COMMERCIAL,SS RIO DE JANEIRO,1900-06-13
3675,BREAKFAST,COMMERCIAL,SS CITY OF RIO DE JANEIRO,1900-06-13
3676,TIFFIN,COMMERCIAL,SS CITY OF RIO DE JANEIRO,1900-06-13
3677,DINNER,COMMERCIAL,SS RIO DE JANEIRO,1900-06-15
3678,TIFFIN,COMMERCIAL,STEAMSHIP CITY OF RIO DE JANEIRO,1900-06-16
3679,BREAKFAST,MIL,WARREN,1900-06-17
3680,BREAKFAST,MIL,WARREN,1900-06-17
3681,TIFFIN,COMMERCIAL,STEAMSHIP CITY OF RIO DE JANEIRO,1900-01-01
3682,BREAKFAST,COMMERCIAL,SUNSET OGDEN & SHASTA ROUTES,1900-01-01
3683,BREAKFAST,COMMERCIAL,SUNSET OGDEN & SHASTA ROUTES,1900-01-01
3684,LUNCHEON,COMMERCIAL,SUNSET OGDEN & SHASTA ROUTES,1900-01-01
3685,LUNCHEON,COMMERCIAL,SUNSET OGDEN & SHASTA ROUTES,1900-12-17
3686,LUNCHEON,NAV,ON BOARD NEW YORK,1900-12-17
3687,DINNER,NAV,ON BOARD NEW YORK,1900-12-18
3688,BREAKFAST,NAV,ON BOARD NEW YORK,1900-12-18
3689,DINNER,NAV,ON BOARD NEW YORK,1900-12-19
3690,BREAKFAST,NAV,ON BOARD NEW YORK,1900-12-19
3691,LUNCHEON,NAV,ON BOARD NEW YORK,1900-12-23
3692,DINNER,COMMERCIAL,"MILWAUKEE, WI",1900-12-23
3693,DINNER,COMMERCIAL,SYRACUSE NY,1900-12-24
3694,DINNER,COMMERCIAL,SYRACUSE NY,1900-12-25
3695,LUNCHEON,NAV,ON BOARD NEW YORK,1900-12-27
3696,DINNER,COMMERCIAL,"SYRACUSE,NY",1900-12-28
3697,DINNER,COMMERCIAL,"SYRACUSE, NY",1900-10-18
3698,DINNER,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,1900-10-19
3699,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD SS.K0BE MARU,1900-10-19
3700,TIFFIN,COMMERCIAL,EN ROUTE ABOARD SS.K0BE MARU,1900-10-19
